mol_name,SMILES,dG_bind,dG_bind_err,vacuum_dG_bind,solvent_dG_bind,complex_dG_bind,Glide_score,dummy_atoms
atoms 25 bonds 27_5235,[H]c1nc(N([H])C(=O)N([H])C2([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(N([H])C(=O)c2c(F)c([H])c([H])c([H])c2Br)c1[H],-8.682476821710978,0.5264231021035632,119.13376783882582,118.77339267314214,110.09091585143116,-8.87031812939982,21
atoms 28 bonds 30_5257,[H]OC([H])([H])c1nc([H])c([H])c(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(C([H])([H])F)c([H])c3Cl)c2[H])n1,-8.537263657665207,0.800913268408998,-28.083477542336066,-46.103875581410435,-54.64113923907564,-8.58123560060312,26
atoms 25 bonds 27_66,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)C3([H])C([H])([H])C3([H])[H])c2[H])c(Cl)c1[H],-8.524262285054437,0.33248696198723915,0.7383359375435221,-19.544238404785002,-28.06850068983944,-8.91394481205268,4
atoms 28 bonds 30_3270,[H]OC([H])([H])c1nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(C([H])([H])O[H])c([H])c3Cl)c2[H])c([H])c([H])c1[H],-8.381341848700373,0.7733139221704493,58.652793876506564,27.87495644021633,19.493614591515957,-9.58001923108137,28
atoms 28 bonds 30_5242,[H]OC([H])([H])c1nc([H])c([H])c(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(C([H])=C([H])[H])c([H])c3Cl)c2[H])n1,-8.334217848658238,0.802254433751817,-12.20384463716895,-29.20448428176393,-37.538702130422166,-8.86766443057816,27
atoms 28 bonds 30_419,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)[C@@]3([H])C([H])([H])[C@@]3([H])F)c2[H])c(Cl)c1[H],-8.133779549649326,0.36550786429670457,-2.2571174770622298,-23.462392775199774,-31.5961723248491,-9.23803642347179,4
atoms 27 bonds 29_2685,[H]O[C@]1([H])C([H])([H])[C@]([H])(N([H])C(=O)N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(C([H])([H])[H])c([H])c3Cl)c2[H])C1([H])[H],-7.925854971437218,0.5831104701120815,135.840950967096,111.7834769103723,103.85762193893508,-8.77335525089043,25
atoms 30 bonds 33_3951,[H]c1nc(N([H])c2nc(N3C([H])([H])C([H])([H])C3([H])[H])nc(C([H])([H])[H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(N([H])[H])c([H])c2Cl)c1[H],-7.819165398579912,0.9220835071762808,-48.92829958658569,-90.24371230239456,-98.06287770097447,-9.18702766586886,33
atoms 27 bonds 29_4123,[H]c1nc(N([H])c2nc(C([H])([H])[H])nc(Cl)c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(N([H])[H])c([H])c2Cl)c1[H],-7.733200628458562,0.7359438985162481,-72.48522559798631,-95.31739792197283,-103.05059855043139,-8.50292052023901,24
atoms 29 bonds 31_7690,[H]OC([H])([H])c1nc(C([H])([H])[H])nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(C([H])([H])F)c([H])c3Cl)c2[H])c1[H],-7.717339201485473,0.7948610180414318,-44.141227212398874,-62.45085755680897,-70.16819675829444,-8.83455181294471,29
atoms 28 bonds 30_5749,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3nc([H])c(C#N)c([H])c3[H])c2[H])c(Cl)c1[H],-7.627552674395314,0.7773676280006352,51.42006685169927,22.042553148933727,14.415000474538413,-8.37716972570159,25
atoms 26 bonds 28_3107,[H]c1nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(Cl)c([H])c3Cl)c2[H])c([H])c(C([H])([H])[H])n1,-7.589341484543397,0.7837643679663784,-41.76579348695616,-47.90198833843103,-55.49132982297443,-8.04605374399104,22
atoms 28 bonds 30_336,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)[C@@]3([H])C([H])([H])[C@@]3([H])Cl)c2[H])c(Cl)c1[H],-7.582513916595321,0.3863222807325039,-1.0907398626864833,-21.654442671548672,-29.236956588143993,-8.92734661082489,4
atoms 27 bonds 29_416,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)[C@]3([H])C([H])([H])C3(F)F)c2[H])c(Cl)c1[H],-7.572503421521951,0.38647623484693344,-15.084583818028072,-34.53653419623028,-42.10903761775223,-8.93663902047085,4
atoms 29 bonds 31_568,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)[C@]3([H])C([H])([H])[C@@]3([H])C([H])([H])O[H])c2[H])c(Cl)c1[H],-7.448683395038712,0.3872944155463065,26.28813476598036,-15.063427571398128,-22.51211096643684,-9.24221642440329,8
atoms 27 bonds 29_2898,[H]OC([H])([H])c1nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(Cl)c([H])c3Cl)c2[H])c([H])c([H])c1[H],-7.435275325122763,0.7761418294747775,42.6238123279256,37.11263619409857,29.677360868975807,-8.70319876996188,24
atoms 27 bonds 29_2958,[H]OC([H])([H])c1nc(C([H])([H])[H])nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c([H])c([H])c3Cl)c2[H])c1[H],-7.382845933993991,0.7303743403004318,-47.13547069555372,-62.64934264164509,-70.03218857563908,-8.90169894727646,26
atoms 25 bonds 27_5623,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3nnc([H])s3)c2[H])c(Cl)c1[H],-7.355878299841201,0.6364005261584679,65.72265678790805,42.28703639205687,34.93115809221567,-8.32907771842054,20
atoms 26 bonds 28_5757,[H]c1nc(N([H])c2noc(C([H])([H])[H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(OC([H])([H])[H])c([H])c2Cl)c1[H],-7.312102418437732,0.6673347741438955,-112.57008188818682,-116.89932146981795,-124.21142388825568,-8.20508084529718,24
atoms 24 bonds 26_866,[H]c1nc(N([H])C(=O)N([H])C2([H])C([H])([H])C2([H])[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c([H])c([H])c2Br)c1[H],-7.218354883284247,0.4627509905204329,3.086046609842832,2.901833296656399,-4.316521586627848,-8.45742503368602,18
atoms 27 bonds 29_3591,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3nc(C([H])([H])[H])c([H])c([H])c3[H])c2[H])c(Cl)c1[H],-7.129490887925641,0.711553066842074,51.61451842892768,31.464027142680692,24.33453625475505,-8.82840400235851,27
atoms 28 bonds 30_470,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)[C@]3([H])C([H])([H])[C@@]3([H])C([H])([H])[H])c2[H])c(Cl)c1[H],-7.1034184204909945,0.3384406532488995,33.539517505644454,13.950714645719476,6.847296225228481,-8.88713937858608,7
atoms 26 bonds 28_3488,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3nc([H])nc([H])c3[H])c2[H])c(Cl)c1[H],-7.102341892549532,0.6843726367382249,-25.650146734015006,-53.93198647600318,-61.034328368552714,-8.70381124023934,23
atoms 24 bonds 25_2855,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)N([H])C([H])([H])[H])c2[H])c(Cl)c1[H],-7.068051301119489,0.4662988642499436,84.81862241846497,55.00305713286848,47.93500583174899,-8.89466713950579,18
atoms 27 bonds 29_5146,[H]c1nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(OC([H])([H])[H])c([H])c3Cl)c2[H])c([H])c(C([H])([H])[H])n1,-7.027279760178665,0.722297108374396,-22.248051914019214,-32.82405312764413,-39.85133288782279,-8.30065086255599,26
atoms 27 bonds 29_315,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)[C@]3([H])C([H])([H])[C@@]([H])(O[H])C3([H])[H])c2[H])c(Cl)c1[H],-6.945337942209704,0.449754010233763,129.54242145715787,87.31619894585867,80.37086100364897,-9.39548223613745,14
atoms 26 bonds 27_3881,[H]c1nc(N([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(C([H])([H])F)c([H])c2Cl)c1[H],-6.93996525603616,0.5282319290181137,108.41508895647826,114.62762357555053,107.68765831951437,-8.06137814406795,22
atoms 26 bonds 28_5609,[H]C(=O)c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3onc(C([H])([H])[H])c3[H])c2[H])c(Cl)c1[H],-6.884098477494604,0.6896989902887031,-124.42351501090994,-141.54917520253377,-148.43327368002838,-8.36935541265769,22
atoms 30 bonds 33_3707,[H]c1nc(N([H])c2nc(N([H])C3([H])C([H])([H])C3([H])[H])nc(C([H])([H])[H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(N([H])[H])c([H])c2Cl)c1[H],-6.8132923818945414,0.938302561215702,-219.97350033005534,-256.9708443456444,-263.78413672753896,-9.59277402968435,33
atoms 26 bonds 28_3866,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3nnc([H])c([H])c3[H])c2[H])c(Cl)c1[H],-6.723836399606483,0.696952154711341,114.16293490554817,85.19803732040454,78.47420092079805,-8.38454327938729,23
atoms 26 bonds 28_4340,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3nn(C([H])([H])[H])c([H])c3[H])c2[H])c(Cl)c1[H],-6.670588739633626,0.708025496771284,50.69929368236199,26.484592103006896,19.81400336337327,-8.79205673676946,25
atoms 29 bonds 31_7641,[H]OC([H])([H])c1nc(C([H])([H])[H])nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(C([H])=C([H])[H])c([H])c3Cl)c2[H])c1[H],-6.619716754861656,0.8149506382730342,-25.84249346466769,-40.60029115860239,-47.220007913464045,-9.0958561890359,30
atoms 25 bonds 26_4003,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)C([H])([H])C#N)c2[H])c(Cl)c1[H],-6.412983538824314,0.5204645154838576,77.42480053115264,44.30666264230561,37.8936791034813,-9.00339937767838,17
atoms 28 bonds 30_5775,[H]OC([H])([H])c1nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(C([H])([H])[H])c([H])c3Cl)c2[H])c([H])c(C([H])([H])[H])n1,-6.34778128920555,0.7985246989000739,-41.518600457801796,-54.98262533087209,-61.33040662007764,-8.9761772181942,29
atoms 24 bonds 26_4073,[H]c1nnc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(N([H])[H])c([H])c3Cl)c2[H])s1,-6.270681413244997,0.6320140010285459,48.890900693130845,26.620665223514937,20.34998381026994,-8.51732181138247,18
atoms 25 bonds 27_5254,[H]c1nc(N([H])c2onc(C([H])([H])[H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(C([H])([H])[H])c([H])c2Cl)c1[H],-6.239008189987771,0.684019682171682,-127.81674428512996,-125.32976818636689,-131.56877637635466,-8.62399076219334,23
atoms 28 bonds 30_701,[H]O[C@]1([H])C([H])([H])[C@]([H])(N([H])C(=O)N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c([H])c([H])c3Cl)c2[H])C1([H])[H],-6.099335340448562,0.5239345434656403,136.6403574901373,103.00851434246687,96.9091790020183,-9.185647050782,22
atoms 27 bonds 29_3245,[H]c1nc(N([H])c2nc(C(=O)N([H])[H])c([H])c([H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c([H])c([H])c2Br)c1[H],-6.084305433397013,0.701977754567648,63.511512306443265,42.24372808937069,36.15942265597368,-9.62024356918354,24
atoms 26 bonds 28_5303,[H]C(=O)c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3noc(C([H])([H])[H])c3[H])c2[H])c(Cl)c1[H],-5.9970355905363135,0.6713523355462845,-116.76812626226084,-133.60931035676762,-139.60634594730394,-8.07613127122212,22
atoms 28 bonds 30_5696,[H]c1nc(N([H])c2nc(N([H])C([H])([H])[H])nc(C([H])([H])[H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(C([H])([H])[H])c([H])c2Cl)c1[H],-5.995173321331265,0.7628106295781011,-112.43319939901866,-130.4310899234653,-136.42626324479656,-8.50269165639417,30
atoms 29 bonds 31_3868,[H]c1nc(N([H])c2nc(C(=O)N([H])[H])c([H])c([H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(C([H])([H])F)c([H])c2Cl)c1[H],-5.8490573419330545,0.766764130326882,63.64816725830531,41.19328909372996,35.344231751796904,-9.65365601342813,27
atoms 27 bonds 29_5545,[H]OC([H])([H])c1nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c([H])c([H])c3Br)c2[H])c([H])c(C([H])([H])[H])n1,-5.847433529051834,0.6819558983940051,-36.52037964951778,-51.11917102903826,-56.9666045580901,-8.89217622340801,26
atoms 28 bonds 30_142,[H]C(=O)c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)[C@@]3([H])C([H])([H])[C@@]3([H])Cl)c2[H])c(Cl)c1[H],-5.830102209002451,0.39378208085933153,2.533115812172097,-13.729805740291933,-19.559907949294384,-8.41129857221606,2
atoms 25 bonds 27_5199,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3nc([H])c([H])s3)c2[H])c(Cl)c1[H],-5.823121292260431,0.6516544117095232,55.29644530865785,37.925514564354415,32.102393272093984,-8.46873515177385,21
atoms 25 bonds 26_2848,[H]c1nc(N([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(N([H])[H])c([H])c2Cl)c1[H],-5.7472076010272986,0.5566256720787163,92.95239195466078,77.97671494145905,72.22950734043175,-8.93130789889864,21
atoms 25 bonds 26_3626,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)OC([H])([H])C([H])([H])[H])c2[H])c(Cl)c1[H],-5.683039108323683,0.5274211689149179,89.34525353673817,72.03257151618733,66.34953240786365,-8.82338106870877,20
atoms 26 bonds 27_3576,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c2[H])c(Cl)c1[H],-5.661428652731971,0.5742404605069915,94.760579107078,69.73297022702775,64.07154157429578,-9.04916428541391,24
